step,time,S_put,p_stall,rho_r,N_L0,Q_L0,Q_L1,Q_L2,Q_L3,C_L0,C_L1,C_L2,C_L3,D_L0,D_L1,D_L2,D_L3
0,0.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
1,1.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
2,2.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
3,3.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
4,4.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
5,5.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
6,6.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
7,7.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
8,8.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
9,9.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
10,10.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
11,11.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
12,12.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
13,13.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
14,14.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
15,15.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
16,16.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
17,17.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
18,18.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
19,19.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
20,20.0,196.4027580075817,0.01798620996209156,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,820.8000000000001,388.79999999999995,142.79999999999998,106.05748932409412,53.02874466204706,10.605748932409412,10.605748932409412
